f.test	kruskal.test	component boosting	random Forst	foldChange	
CPA3	1	0	0	0	NA
CD207	1	0	0	0	NA
DNAJB1	1	0	0	0	NA
CCNYL1	1	1	0	0	NA
ARPC3	1	0	0	0	NA
TRAM1	1	0	0	0	NA
ETS2	1	0	0	0	NA
RNF135	1	0	0	0	NA
FCGR3B	1	0	0	0	NA
NR4A1	1	0	0	0	NA
GIMAP4	1	0	0	0	NA
CASP5	1	0	0	0	NA
NT5DC1	1	0	0	0	NA
IFIH1	1	0	0	0	NA
UTP11L	1	0	0	0	NA
BCL9	1	0	0	0	NA
NCR3LG1	1	0	0	0	NA
AMFR	1	0	0	0	NA
KRT23	1	0	0	0	NA
PLK3	1	0	0	0	NA
MRPS33	1	0	0	0	NA
OR2A7	1	1	0	0	NA
CLC	0	0	0	0	NA
IL1RL1	0	0	0	0	NA
GNA15	0	0	0	0	NA
PRSS33	0	0	0	0	NA
CRLF2	0	0	0	0	NA
CCL22	0	0	0	0	NA
GATA2	0	0	0	0	NA
ALOX15	0	0	0	0	NA
VEGFA	0	0	0	0	NA
CCL17	0	0	0	0	NA
SATB1	0	0	0	0	NA
SOCS2	0	0	0	0	NA
SMOX	0	0	0	0	NA
BIRC3	0	0	0	0	NA
LOC101927770	0	0	0	0	NA
TARP	0	0	0	0	NA
CISH	0	0	0	0	NA
BST1	0	0	0	0	NA
HELZ	0	0	0	0	NA
GPR183	0	0	0	0	NA
FECH	0	0	0	0	NA
RFTN1	0	0	0	0	NA
FCER1A	0	1	0	0	NA
CCR7	0	0	0	0	NA
FAM118A	0	0	0	0	NA
GLCCI1	0	0	0	0	NA
LGALS12	0	0	0	0	NA
RUNX3	0	0	0	0	NA
NDFIP1	0	0	0	0	NA
RNF146	0	0	0	0	NA
CTSS	0	0	0	0	NA
MMP19	0	0	0	0	NA
LOC101060424	0	0	0	0	NA
TLR7	0	0	0	0	NA
NLRC4	0	0	0	0	NA
TRGC2	0	0	0	0	NA
COA7	0	0	0	0	NA
ZFYVE21	0	0	0	0	NA
CYLD	0	0	0	0	NA
KIF21B	0	0	0	0	NA
UTRN	0	0	0	0	NA
