"","t.test","welch.test","wilcox.test","f.test","kruskal.test","limma","rfe","rf","lasso","elasticnet","boosting","golub","shrinkcat","foldChange"
"CLC",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.24538218294723
"IL1RL1",0,0,0,0,0,0,0,0,0,0,0,1,0,-1.11874104905367
"CPA3",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48654087588156
"GNA15",0,0,0,0,0,0,0,0,0,0,0,0,0,-50.7263475104821
"PRSS33",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.56423704329521
"CRLF2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19036825217879
"CCL22",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.369137381981298
"GATA2",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.495473384530959
"ALOX15",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.80357813692391
"VEGFA",0,0,0,0,0,0,0,0,0,0,0,0,0,0.347511858165196
"CCL17",0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4105452324044
"SATB1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.372986724374389
"SOCS2",0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22679272734082
"SMOX",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.666849249942488
"BIRC3",0,0,0,0,0,0,0,0,0,0,0,0,1,-8.86014505434053
"LOC101927770",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3183943111361
"TARP",0,0,0,0,0,0,0,0,0,0,0,0,0,2.52305270167718
"CISH",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.43675135856694
"BST1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.549128330810944
"HELZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0.788528890179058
"GPR183",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.249189172557281
"FECH",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2274543524353
"RFTN1",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.79894180680597
"FCER1A",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.687002354355149
"CCR7",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913579863666508
"FAM118A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.105008204611341
"GLCCI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.839600403478505
"LGALS12",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.89021646197592
"RUNX3",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.480327242970338
"NDFIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.34983282729493
"RNF146",0,0,0,0,0,1,0,0,0,0,0,0,0,-3.51610609592197
"CTSS",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05895385748899
"MMP19",0,0,0,0,0,0,0,0,0,0,0,0,0,3.68151244871913
"LOC101060424",0,0,0,0,0,0,0,0,0,0,0,0,0,-3.88960555190779
"TLR7",0,0,0,0,1,0,0,0,0,0,0,0,0,1.61606419976442
"NLRC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.890577867342292
"TRGC2",0,0,0,0,0,0,0,0,0,0,0,0,0,4.7580119942432
"COA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.755940804207745
"ZFYVE21",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.74833158948048
"CYLD",0,0,0,0,0,0,0,0,0,0,0,0,0,0.549025068493422
"KIF21B",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.954614281515769
"UTRN",0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0981281749024808
"TRGV9",0,0,0,0,0,0,0,0,0,0,0,0,0,16.2278474952582
"GTF2H2B",0,1,0,0,0,0,0,0,0,0,0,0,0,-4.10763494802522
"C21orf91-OT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.265135065840261
"TRAPPC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0.430725961018268
"ARHGAP1",1,0,0,1,0,0,0,0,0,0,0,0,0,-1.12317685706492
"XRCC5",0,0,0,0,0,0,0,0,0,0,0,0,0,4.17889211116281
"CD207",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86794956361931
"TIPRL",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42477118412755
"DUSP4",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.413860267385347
"ATP2A3",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.35993796807946
"HAUS1",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19717045698886
"MEIS3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,1.57880988649833
"SCOC",0,0,1,0,0,0,0,0,0,0,0,0,0,1.98228807222272
"ADORA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.489538986285741
"ICOSLG",0,0,0,0,0,0,0,0,0,0,0,0,0,0.597982352422294
"RASAL3",0,0,0,0,0,0,0,0,0,0,0,0,0,-4.00496454370587
"UBA3",0,0,0,0,0,0,0,0,0,0,0,0,0,1.13949707542818
"IL18R1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.228646103688051
"DAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,3040.92150705907
"REL",1,0,0,1,0,0,0,0,0,0,0,0,0,0.46970267469525
