	t.test	welch.test	wilcox.test	f.test	kruskal.test	limma	rfe	rf	lasso	elasticnet	boosting	golub	shrinkcat	foldChange	sum
LCP2	0	0	1	0	1	0	0	0	1	1	1	0	0	0.070676472	5
ATG2A	1	1	0	1	1	0	0	0	0	0	0	0	0	-0.015433791	4
ZKSCAN8	1	1	1	1	0	0	0	0	0	0	0	0	0	2.297124725	4
FTSJ2	1	1	0	1	0	1	0	0	0	0	0	0	0	7.360165526	4
BTG1	0	0	0	0	0	0	0	1	1	0	1	0	0	0.212585447	3
ADORA2A	0	0	0	0	0	0	0	0	1	1	1	0	0	0.1552225	3
ARHGAP1	1	0	0	1	0	0	0	0	0	0	0	0	0	-1.123176857	2
REL	1	0	0	1	0	0	0	0	0	0	0	0	0	0.469702675	2
SCARB2	1	0	0	1	0	0	0	0	0	0	0	0	0	-8.968688579	2
MGAM	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.969168662	2
UMPS	0	0	1	0	1	0	0	0	0	0	0	0	0	0.679818164	2
TGOLN2	0	0	0	0	0	0	0	0	0	1	1	0	0	-4.171534363	2
ADAM10	0	0	0	0	1	1	0	0	0	0	0	0	0	2.44523993	2
FLOT1	0	0	1	0	1	0	0	0	0	0	0	0	0	-0.430862594	2
PPFIBP2	0	0	1	0	1	0	0	0	0	0	0	0	0	1.061330392	2
IL1RL1	0	0	0	0	0	0	0	0	0	0	0	1	0	-1.118741049	1
BIRC3	0	0	0	0	0	0	0	0	0	0	0	0	1	-8.860145054	1
RNF146	0	0	0	0	0	1	0	0	0	0	0	0	0	-3.516106096	1
TLR7	0	0	0	0	1	0	0	0	0	0	0	0	0	1.6160642	1
UTRN	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.098128175	1
GTF2H2B	0	1	0	0	0	0	0	0	0	0	0	0	0	-4.107634948	1
SCOC	0	0	1	0	0	0	0	0	0	0	0	0	0	1.982288072	1
TBC1D2B	0	1	0	0	0	0	0	0	0	0	0	0	0	-9.834133026	1
PLBD1	0	0	0	0	0	0	0	0	0	0	0	1	0	3.701609859	1
HN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0.31127255	1
GINM1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1.628765695	1
BRCC3	0	0	0	0	0	0	0	0	0	0	0	1	0	-3.752189898	1
PCCA	0	0	0	0	0	0	0	1	0	0	0	0	0	-2.527656779	1
NT5DC1	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.044677978	1
CR1	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.457912514	1
MARCKSL1	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.648974875	1
SLC25A37	0	1	0	0	0	0	0	0	0	0	0	0	0	0.285615544	1
TTC7A	0	0	0	0	0	0	0	0	0	0	0	1	0	0.973928856	1
SAMSN1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.041328343	1
GNG2	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.258415328	1
PREPL	0	0	0	0	0	0	0	0	0	0	0	1	0	0.310278164	1
FAM162A	0	0	0	0	0	0	0	0	0	0	1	0	0	11.29569718	1
NINJ1	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.252452952	1
HLA-DMB	0	0	0	0	0	0	0	0	0	0	1	0	0	3.850916966	1
CLC	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.245382183	0
CPA3	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.486540876	0
GNA15	0	0	0	0	0	0	0	0	0	0	0	0	0	-50.72634751	0
PRSS33	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.564237043	0
CRLF2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.190368252	0
CCL22	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.369137382	0
GATA2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.495473385	0
ALOX15	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.803578137	0
VEGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347511858	0
CCL17	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.410545232	0
SATB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.372986724	0
SOCS2	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.226792727	0
SMOX	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.66684925	0
LOC101927770	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318394311	0
TARP	0	0	0	0	0	0	0	0	0	0	0	0	0	2.523052702	0
CISH	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.436751359	0
BST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549128331	0
HELZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78852889	0
GPR183	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.249189173	0
FECH	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.227454352	0
RFTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.798941807	0
FCER1A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.687002354	0
CCR7	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.091357986	0
FAM118A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105008205	0
GLCCI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839600403	0
LGALS12	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.890216462	0
RUNX3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.480327243	0
NDFIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.349832827	0
CTSS	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.058953857	0
MMP19	0	0	0	0	0	0	0	0	0	0	0	0	0	3.681512449	0
LOC101060424	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.889605552	0
NLRC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.890577867	0
TRGC2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.758011994	0
COA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755940804	0
ZFYVE21	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.748331589	0
CYLD	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549025068	0
KIF21B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.954614282	0
TRGV9	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2278475	0
C21orf91-OT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265135066	0
TRAPPC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.430725961	0
XRCC5	0	0	0	0	0	0	0	0	0	0	0	0	0	4.178892111	0
CD207	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.867949564	0
TIPRL	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.424771184	0
DUSP4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.413860267	0
ATP2A3	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.359937968	0
HAUS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.197170457	0
MEIS3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.578809886	0
ADORA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489538986	0
ICOSLG	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597982352	0
RASAL3	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.004964544	0
UBA3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.139497075	0
IL18R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228646104	0
DAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	3040.921507	0
SMG1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.307295317	0
DNAJB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.370626417	0
COL4A3BP	0	0	0	0	0	0	0	0	0	0	0	0	0	1.239392339	0
CD1E	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.378788211	0
TRAF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931704843	0
VSTM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677747503	0
PQLC3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.419888869	0
SIGLEC7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.837903314	0
TES	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.250502341	0
TTYH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012258006	0
STX7	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.008591735	0
