"c..A_559....A_127....A_019....A_549....A_449....A_088....A_451..." "c.1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1.." "structure.c.1..2..1..1..1..1..1..1..1..1..1..1..1..1..1..1..1.."
"A_549" "A_559" 1 1
"A_449" "A_127" 1 2
"A_088" "A_019" 1 1
"A_451" "A_549" 1 1
"A_065" "A_449" 1 1
"A_003" "A_088" 1 1
"A_536" "A_451" 1 1
"A_310" "A_009" 1 1
"A_588" "A_207" 1 1
"A_446" "A_053" 1 1
"A_285" "A_146" 1 1
"A_486" "A_474" 1 1
"A_091" "A_252" 1 1
"A_108" "A_457" 1 1
"A_493" "A_065" 1 1
"A_444" "A_003" 1 1
"A_357" "A_373" 1 1
"A_251" "A_536" 1 1
"A_240" "A_494" 1 1
"A_051" "A_310" 1 2
"A_227" "A_363" 1 1
"A_020" "A_680" 1 1
"A_085" "A_588" 1 1
"A_243" "A_446" 1 1
"A_009" "A_102" 3 4
"A_053" "A_244" 3 4
"A_373" "A_220" 3 4
"A_363" "A_247" 3 4
"A_102" "A_563" 3 4
"A_291" "A_291" 3 4
"A_275" "A_275" 3 4
"A_529" "A_098" 3 4
"A_530" "A_562" 3 4
"A_036" "A_285" 3 4
"A_200" "A_256" 3 2
"A_353" "A_550" 3 2
"A_502" "A_486" 3 4
"A_352" "A_091" 3 4
"A_452" "A_529" 3 4
"A_323" "A_720" 3 4
"A_300" "A_612" 3 4
"A_050" "A_108" 3 4
"A_174" "A_493" 3 4
"A_320" "A_477" 3 4
"A_608" "A_513" 3 4
"A_695" "A_530" 3 4
"A_664" "A_000" 3 4
"A_119" "A_678" 3 4
"A_430" "A_444" 3 4
"A_616" "A_590" 3 2
"A_027" "A_036" 3 4
"A_303" "A_200" 3 4
"A_338" "A_353" 3 4
"A_539" "A_133" 3 4
"A_033" "A_357" 3 4
"A_104" "A_333" 3 4
"A_559" "A_251" 2 3
"A_127" "A_190" 2 3
"A_019" "A_458" 2 3
"A_457" "A_722" 2 3
"A_680" "A_519" 2 3
"A_244" "A_527" 2 3
"A_247" "A_691" 2 3
"A_563" "A_502" 3 3
"A_098" "A_240" 2 3
"A_550" "A_553" 2 3
"A_612" "A_352" 2 3
"A_477" "A_051" 2 3
"A_513" "A_452" 1 3
"A_590" "A_323" 2 3
"A_190" "A_235" 2 3
"A_722" "A_227" 2 3
"A_691" "A_300" 2 3
"A_103" "A_103" 2 3
"A_694" "A_050" 2 3
"A_574" "A_632" 2 3
"A_387" "A_020" 2 3
"A_362" "A_085" 2 3
"A_396" "A_174" 2 3
"A_207" "A_243" 3 2
"A_146" "A_035" 3 2
"A_474" "A_694" 3 2
"A_252" "A_626" 1 2
"A_494" "A_602" 3 2
"A_220" "A_320" 1 1
"A_562" "A_208" 3 2
"A_256" "A_608" 1 2
"A_720" "A_695" 3 2
"A_000" "A_664" 2 3
"A_678" "A_119" 3 2
"A_133" "A_430" 3 2
"A_333" "A_616" 3 2
"A_458" "A_574" 3 2
"A_519" "A_027" 3 2
"A_527" "A_303" 3 2
"A_553" "A_387" 1 2
"A_235" "A_362" 3 2
"A_632" "A_396" 3 2
"A_035" "A_619" 3 2
"A_626" "A_338" 3 2
"A_602" "A_539" 3 2
"A_208" "A_651" 3 2
"A_619" "A_033" 1 2
"A_651" "A_104" 3 2
