"" "" "" "" "" "" "" "" "foldChange"
"CLC" 4.15405821084384 0 49.6581422691323 0 -5e-05 1 0 1 NA
"IL1RL1" 7.90296325475177 0 46.9364562396 0 0.000458974358974359 0 0 0 NA
"CPA3" 60.186527047013 0 9.63520099251787 0 0.000108108108108108 1 0 1 NA
"GNA15" 17.6864420438647 0 11.3677046680741 0 0.000628942559787113 1 0.174513420288533 1 NA
"PRSS33" 20.4411396886324 0 20.4813798752115 0 -5.71428571428571e-05 0 0 1 NA
"CRLF2" 26.618102111053 0 38.9187862014833 0 0.000195488721804511 1 0 1 NA
"CCL22" 20.6889972993048 0 35.7699552500045 0 0 1 0 1 NA
"GATA2" 41.3900700159934 0 13.9051185896455 0 0.000941314924026062 1 0 1 NA
"ALOX15" 17.5737198530843 0 16.6881560495263 0 0.00979491021834062 1 0 1 NA
"VEGFA" 30.0133084155909 0 35.7565570138793 0 2e-04 0 0 1 NA
"CCL17" 21.339999128384 0 11.4184345229269 0 0.000111111111111111 1 0 1 NA
"SATB1" 4.28473401900049 0 41.6348866383135 0 0.000155555555555556 1 0 1 NA
"SOCS2" 21.6806423505299 0 52.6592643827223 0 0.000181818181818182 1 0 1 NA
"SMOX" 22.8060442819866 0 52.2990691271319 0 0.082760874770857 1 0 1 NA
"BIRC3" 19.9742830843763 0 48.2521346077354 0 0.000462242562929062 1 0 1 NA
"LOC101927770" 4.99464844862064 0 17.6428410010066 0 0.00027027027027027 1 0.313248647287478 1 NA
"TARP" 21.5105822454575 0 40.7341488498294 0 0.0026591006108034 1 0 1 NA
"CISH" 3.49823218395982 0 15.9387330863611 0 0.00046812865497076 1 0 1 NA
"BST1" 11.1469561928099 0 16.1274208166717 0 0 1 0 1 NA
"HELZ" 15.6321472651242 0 6.21687946254502 0 0.00015647226173542 1 0.982907972964419 1 NA
"GPR183" 6.61821400539519 0 13.330239736882 0 -0.000153846153846154 1 0.0858585111839074 1 NA
"FECH" 6.02274276879394 0 33.914241123159 0 0.000324009324009324 1 0 1 NA
"RFTN1" 5.89681767193355 0 16.1482449513077 0 0.000245063879210221 1 0 1 NA
"FCER1A" 22.1648833104071 1 70.0150246305419 0 0.0139755228978074 1 0 1 NA
"CCR7" 33.9578794570647 0 47.1505813517888 0 0.000241758241758242 1 0 1 NA
"FAM118A" 5.46596585383804 1 14.3243097838836 1 -5e-05 1 0 1 NA
