"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"CLC",0.702486807740016,1,0.700818113486766,1,0.99977706231562,1,0.493487715048762,1,13.0140988618991,1,0.568650365517383,1,1.33633612749184e-05,1,0.0043642835679449,1,0,1,0,1,0,1,0.367803837039036,1,0.797007602266607,1
"IL1RL1",3.85299345632599,0,3.84096756057392,0,0.487190720128688,0,14.8455585744909,0,0.438827076609478,0,14.525577283097,0,8.57917140273478e-05,1,-1e-04,1,0,1,0,1,0,0.508,0.528810105206529,0,0.846354152710289,1
"CPA3",6.27673676086763,0.508,6.27903756896185,1,0.999999969692273,1,39.3974243652271,0.508,26.0913878036351,1,35.1776601416424,0.508,0.000117097802459904,1,0.000357142857142857,1,0,1,0,1,0.0191413551761794,1,0.0785980306883501,1,2.83416410465422,1
"GNA15",3.86632088022932,1,3.87199387107464,1,0.999792218753631,1,14.9484371488972,1,13.1295226770851,1,0.228938462777766,1,0.00010814668618442,1,-9.52380952380952e-05,1,0,1,0,1,0,1,0.388890654933633,1,2.00424035040634,1
"PRSS33",0.482152549526389,1,0.479338867085084,1,0.904502005525902,1,0.232471081014787,1,2.80915576694411,1,14.3423697901597,1,1.39576618357101e-05,1,-0.00016,1,0,1,0,1,0,1,0.190816719510965,1,0.859173022043061,1
"CRLF2",1.65627686719997,0.508,1.65364387267192,0.508,0.29030472707395,0.508,2.74325306082174,0.508,0.146764056395448,0.508,2.94475035178458,0.508,6.22059428534017e-07,1,-0.000166666666666667,1,0,1,0,1,0,1,0.0559717796732995,0.508,2.11121753815276,1
"CCL22",0.658069807044712,0.508,1.76430997151225,0.508,0.999891714600311,1,0.433055870943866,0.508,14.0712587056226,1,3.26910200846263,0.508,2.40651279967075e-07,1,0,1,0,1,0.450968189740418,1,0.0403905079472512,1,0.0963814748765128,1,0.747279889964292,0.508
"GATA2",1.77485804345319,0,0.657809389232116,0,0.567620068459981,0,3.1501210744105,0,0.636996772549686,0,0.460659368158327,0,1.06345259700865e-05,1,-1e-04,1,0.464747831642329,1,0.360682089598359,1,0,1,0.0600437095681044,0,0.287582559707931,1
"ALOX15",4.2037731906562,1,4.18277485876422,1,0.325390655199603,1,17.6717090384798,1,0.185748258875488,1,2.9745479914489,1,1.50283340581804e-06,1,0.000454545454545455,1,0.421571056308945,1,0.296097213437999,1,0,1,0.495310723248094,1,2.33916649517705,1
"VEGFA",0.495068502029987,0,0.68292353862139,0,0.206161421418211,0,0.245092821702221,0,0.0736368269067435,0,17.0280236532693,0,3.52847384778091e-06,1,-0.00019047619047619,0,0.350007777214049,1,0.0493785607470302,1,0,1,0.153367648935154,0,0.214755637652623,0.508
