	t.test	welch.test	wilcox.test	f.test	kruskal.test	limma	rfe	rf	lasso	elasticnet	boosting	golub	shrinkcat	foldChange	majority voting
CPA3	1	1	1	1	1	1	0	0	0	0	0	0	0	-2.486540876	6
ZKSCAN8	1	1	1	1	0	1	0	0	0	0	0	0	0	2.297124725	5
FCGR1B	1	1	0	1	1	0	0	0	0	0	0	0	1	0.498509632	5
LCP2	0	0	1	0	1	0	0	0	1	1	1	0	0	0.070676472	5
TIPRL	1	1	0	1	0	1	0	0	0	0	0	0	0	-1.424771184	4
GGT5	1	0	1	1	0	0	0	0	0	0	0	1	0	-0.191903413	4
UMPS	1	0	1	1	1	0	0	0	0	0	0	0	0	0.679818164	4
LOC284454	1	1	0	1	0	0	0	0	0	0	0	1	0	0.968724281	4
ATG2A	1	1	0	1	1	0	0	0	0	0	0	0	0	-0.015433791	4
SH2D2A	1	0	1	1	1	0	0	0	0	0	0	0	0	0.705875561	4
MAP3K1	1	1	0	1	0	0	0	0	0	0	0	1	0	0.697207074	4
MRPS33	1	1	0	1	0	0	0	0	0	0	0	0	1	0.127616195	4
FTSJ2	1	1	0	1	0	1	0	0	0	0	0	0	0	7.360165526	4
GTF2H2B	1	1	0	1	0	0	0	0	0	0	0	0	0	-4.107634948	3
ETS2	1	0	0	1	0	0	0	0	0	0	0	1	0	-0.169518674	3
PRDX3	1	1	0	1	0	0	0	0	0	0	0	0	0	9.254598989	3
BTG1	0	0	0	0	0	0	0	1	1	0	1	0	0	0.212585447	3
TGOLN2	0	0	1	0	0	0	0	0	0	1	1	0	0	-4.171534363	3
GINM1	0	1	0	0	1	1	0	0	0	0	0	0	0	-1.628765695	3
P2RY10	1	1	0	1	0	0	0	0	0	0	0	0	0	1.263825955	3
RNF135	0	0	0	0	1	0	0	1	0	0	0	1	0	3.710306477	3
NR4A1	1	1	0	1	0	0	0	0	0	0	0	0	0	0.162823765	3
ZNF395	1	1	0	1	0	0	0	0	0	0	0	0	0	-0.406048705	3
IGLV@	1	0	1	1	0	0	0	0	0	0	0	0	0	-0.294075898	3
GZMB	0	0	1	0	1	1	0	0	0	0	0	0	0	-5.923022592	3
SNX30	1	1	0	1	0	0	0	0	0	0	0	0	0	0.236886657	3
DESI2	1	1	0	1	0	0	0	0	0	0	0	0	0	-1.204116999	3
SLC25A36	1	1	0	1	0	0	0	0	0	0	0	0	0	-0.634677308	3
ADORA2A	0	0	0	0	0	0	0	0	1	1	1	0	0	0.1552225	3
IFITM2	1	1	0	1	0	0	0	0	0	0	0	0	0	0.523039704	3
IL1RL1	0	0	0	0	0	0	0	0	0	0	1	1	0	-1.118741049	2
LGALS12	0	0	1	0	1	0	0	0	0	0	0	0	0	-1.890216462	2
TLR7	0	0	1	0	1	0	0	0	0	0	0	0	0	1.6160642	2
UTRN	0	0	0	0	0	1	0	0	0	0	0	0	1	-0.098128175	2
ARHGAP1	1	0	0	1	0	0	0	0	0	0	0	0	0	-1.123176857	2
SCOC	0	0	1	0	1	0	0	0	0	0	0	0	0	1.982288072	2
REL	1	0	0	1	0	0	0	0	0	0	0	0	0	0.469702675	2
TBC1D2B	0	1	0	0	0	0	0	0	0	0	0	1	0	-9.834133026	2
BANK1	0	1	0	0	1	0	0	0	0	0	0	0	0	0.172962408	2
ANKRD10	1	0	0	1	0	0	0	0	0	0	0	0	0	0.125352011	2
LINC01094	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.063489874	2
SCARB2	1	0	0	1	0	0	0	0	0	0	0	0	0	-8.968688579	2
TPSB2	0	1	0	0	0	1	0	0	0	0	0	0	0	-0.904618976	2
C2CD5	0	0	1	0	0	1	0	0	0	0	0	0	0	-2.368782522	2
SLC7A11	0	0	1	0	1	0	0	0	0	0	0	0	0	19.12890726	2
ZYG11B	1	0	0	1	0	0	0	0	0	0	0	0	0	1.148143058	2
ACAA1	0	1	0	0	1	0	0	0	0	0	0	0	0	0.113045773	2
SFMBT2	0	0	1	0	0	1	0	0	0	0	0	0	0	-0.24747108	2
ADAM10	0	0	0	0	1	1	0	0	0	0	0	0	0	2.44523993	2
DNASE1L3	0	0	0	0	0	1	0	0	0	0	0	1	0	-5.503764715	2
NFKBID	0	0	0	0	1	1	0	0	0	0	0	0	0	-0.338434385	2
TANC2	0	0	1	0	1	0	0	0	0	0	0	0	0	0.322527754	2
ASAP1-IT1	1	0	0	1	0	0	0	0	0	0	0	0	0	1.045629616	2
OAS3	0	0	0	0	1	0	0	0	0	0	0	1	0	1.0251268	2
SLC7A11-AS1	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.970760182	2
FGFR1OP2	0	0	0	0	0	1	0	0	0	0	0	1	0	-7.017604006	2
FLOT1	0	0	1	0	1	0	0	0	0	0	0	0	0	-0.430862594	2
GTPBP10	0	0	0	0	1	1	0	0	0	0	0	0	0	8.3685878	2
MGAM	1	0	0	1	0	0	0	0	0	0	0	0	0	-0.969168662	2
VPS36	0	0	1	0	1	0	0	0	0	0	0	0	0	-1.236161447	2
