"" "" "" "" "" "" "" "" "foldChange"
"CLC" 4.15405821084384 0 49.6581422691323 0 -5e-05 0.0590697674418605 0 0.14443137254902 -1.21276595744681
"IL1RL1" 7.90296325475177 0 46.9364562396 0 0.000458974358974359 0 0 0 -1.21276595744681
"CPA3" 60.186527047013 0 9.63520099251787 0 0.000108108108108108 0.534678336980306 0 0.198782608695652 -1.21276595744681
"GNA15" 17.6864420438647 0 11.3677046680741 0 0.000628942559787113 0.520965197215777 0.174513420288533 0.25273 -1.21276595744682
"PRSS33" 20.4411396886324 0 20.4813798752115 0 -5.71428571428571e-05 0 0 0.115018867924528 -1.21276595744681
"CRLF2" 26.618102111053 0 38.9187862014833 0 0.000195488721804511 0.301625 0 0.208165413533835 -1.21276595744681
"CCL22" 20.6889972993048 0 35.7699552500045 0 0 0.429240310077519 0 0.198782608695652 -1.21276595744681
"GATA2" 41.3900700159934 0 13.9051185896455 0 0.000941314924026062 0.448887272727273 0 0.209176470588235 -1.21276595744681
"ALOX15" 17.5737198530843 0 16.6881560495263 0 0.00979491021834062 0.122903225806452 0 0.176695652173913 -1.21276595744681
"VEGFA" 30.0133084155909 0 35.7565570138793 0 2e-04 0 0 0.131703703703704 -1.21276595744681
"CCL17" 21.339999128384 0 11.4184345229269 0 0.000111111111111111 0.536465517241379 0 0.242842377260982 -1.2127659574468
"SATB1" 4.28473401900049 0 41.6348866383135 0 0.000155555555555556 0.376464285714286 0 0.116590163934426 -1.21276595744681
"SOCS2" 21.6806423505299 0 52.6592643827223 0 0.000181818181818182 0.712625250501002 0 0.156028571428571 -1.21276595744681
"SMOX" 22.8060442819866 0 52.2990691271319 0 0.082760874770857 0.0163870967741935 0 0.131703703703704 -1.21276595744681
"BIRC3" 19.9742830843763 0 48.2521346077354 0 0.000462242562929062 0.122903225806452 0 0.152 -1.21276595744681
"LOC101927770" 4.99464844862064 0 17.6428410010066 0 0.00027027027027027 0.460489208633094 0.313248647287478 0.288354767184036 -1.21276595744681
"TARP" 21.5105822454575 0 40.7341488498294 0 0.0026591006108034 0.370702702702703 0 0.191497382198953 -1.21276595744681
