"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"CLC",0.702486807740016,0.02,0.700818113486766,0.021,0.99977706231562,0.014,0.493487715048762,0.02,13.0140988618991,0.014,0.568650365517383,0.018,1.33633612749184e-05,0.908,0.0043642835679449,0.402,0,0.015,0,0.014,0,0.019,0.367803837039036,0.017,0.797007602266607,0.63
"IL1RL1",3.85299345632599,0,3.84096756057392,0,0.487190720128688,0,14.8455585744909,0,0.438827076609478,0,14.525577283097,0,8.57917140273478e-05,0.694,-1e-04,0.002,0,0.008,0,0.009,0,0.001,0.528810105206529,0,0.846354152710289,0.068
"CPA3",6.27673676086763,0.001,6.27903756896185,0.002,0.999999969692273,0.005,39.3974243652271,0.001,26.0913878036351,0.005,35.1776601416424,0.001,0.000117097802459904,0.716,0.000357142857142857,0.744,0,0.033,0,0.028,0.0191413551761794,0.033,0.0785980306883501,0.002,2.83416410465422,0.319
"GNA15",3.86632088022932,0.021,3.87199387107464,0.021,0.999792218753631,0.015,14.9484371488972,0.021,13.1295226770851,0.015,0.228938462777766,0.019,0.00010814668618442,0.542,-9.52380952380952e-05,0.597,0,0.057,0,0.045,0,0.084,0.388890654933633,0.019,2.00424035040634,0.187
"PRSS33",0.482152549526389,0.024,0.479338867085084,0.025,0.904502005525902,0.039,0.232471081014787,0.024,2.80915576694411,0.039,14.3423697901597,0.02,1.39576618357101e-05,0.928,-0.00016,0.268,0,0.025,0,0.021,0,0.031,0.190816719510965,0.045,0.859173022043061,0.832
"CRLF2",1.65627686719997,0.001,1.65364387267192,0.001,0.29030472707395,0.001,2.74325306082174,0.001,0.146764056395448,0.001,2.94475035178458,0.001,6.22059428534017e-07,1,-0.000166666666666667,0.469,0,0.055,0,0.034,0,0.059,0.0559717796732995,0.001,2.11121753815276,0.384
"CCL22",0.658069807044712,0.001,1.76430997151225,0.001,0.999891714600311,0.003,0.433055870943866,0.001,14.0712587056226,0.003,3.26910200846263,0.001,2.40651279967075e-07,0.151,0,0.353,0,0.012,0.450968189740418,0.009,0.0403905079472512,0.008,0.0963814748765128,0.002,0.747279889964292,0.001
"GATA2",1.77485804345319,0,0.657809389232116,0,0.567620068459981,0,3.1501210744105,0,0.636996772549686,0,0.460659368158327,0,1.06345259700865e-05,0.957,-1e-04,0.388,0.464747831642329,0.044,0.360682089598359,0.031,0,0.048,0.0600437095681044,0,0.287582559707931,0.312
"ALOX15",4.2037731906562,0.138,4.18277485876422,0.136,0.325390655199603,0.054,17.6717090384798,0.138,0.185748258875488,0.054,2.9745479914489,0.129,1.50283340581804e-06,0.744,0.000454545454545455,0.382,0.421571056308945,0.047,0.296097213437999,0.035,0,0.056,0.495310723248094,0.13,2.33916649517705,0.185
"VEGFA",0.495068502029987,0,0.68292353862139,0,0.206161421418211,0,0.245092821702221,0,0.0736368269067435,0,17.0280236532693,0,3.52847384778091e-06,0.442,-0.00019047619047619,0,0.350007777214049,0.003,0.0493785607470302,0.004,0,0.004,0.153367648935154,0,0.214755637652623,0.001
