"","t.test","pvalue","welch.test","pvalue","wilcox.test","pvalue","f.test","pvalue","kruskal.test","pvalue","limma","pvalue","rfe","pvalue","rf","pvalue","lasso","pvalue","elasticnet","pvalue","boosting","pvalue","golub","pvalue","shrinkcat","pvalue"
"CLC",0.702486807740016,0.0365467625899281,0.700818113486766,0.0379644128113879,0.99977706231562,0.0263407407407407,0.493487715048762,0.0365467625899281,13.0140988618991,0.0264386617100372,0.568650365517383,0.0326571428571429,1.33633612749184e-05,0.999936758893281,0.0043642835679449,0.593651162790698,0,0.0812249322493225,0,0.0637095709570957,0,0.0731212121212121,0.367803837039036,0.033088122605364,0.797007602266607,0.808181818181818
"IL1RL1",3.85299345632599,0,3.84096756057392,0,0.487190720128688,0,14.8455585744909,0,0.438827076609478,0,14.525577283097,0,8.57917140273478e-05,0.999936758893281,-1e-04,0.0236279069767442,0,0.0812249322493225,0,0.0637095709570957,0,0.0423333333333333,0.528810105206529,0,0.846354152710289,0.263407407407407
"CPA3",6.27673676086763,0.00268783068783069,6.27903756896185,0.00510552763819095,0.999999969692273,0.0107172995780591,39.3974243652271,0.00268783068783069,26.0913878036351,0.0107172995780591,35.1776601416424,0.00263212435233161,0.000117097802459904,0.999936758893281,0.000357142857142857,0.78299173553719,0,0.0812249322493225,0,0.0637095709570957,0.0191413551761794,0.0814716981132076,0.0785980306883501,0.00549189189189189,2.83416410465422,0.551050847457627
"GNA15",3.86632088022932,0.037696113074205,3.87199387107464,0.0379644128113879,0.999792218753631,0.0280147058823529,14.9484371488972,0.037696113074205,13.1295226770851,0.0280147058823529,0.228938462777766,0.0343487544483986,0.00010814668618442,0.999936758893281,-9.52380952380952e-05,0.695890410958904,0,0.0812249322493225,0,0.063854748603352,0,0.101358669833729,0.388890654933633,0.0361498127340824,2.00424035040634,0.422204444444444
"PRSS33",0.482152549526389,0.0421868512110727,0.479338867085084,0.0437931034482759,0.904502005525902,0.0645342019543974,0.232471081014787,0.0421868512110727,2.80915576694411,0.0645342019543974,14.3423697901597,0.0359010600706714,1.39576618357101e-05,0.999936758893281,-0.00016,0.559370786516854,0,0.0812249322493225,0,0.0637095709570957,0,0.0814716981132076,0.190816719510965,0.0747058823529412,0.859173022043061,0.916824295010846
"CRLF2",1.65627686719997,0.00268783068783069,1.65364387267192,0.00271657754010695,0.29030472707395,0.00268783068783069,2.74325306082174,0.00268783068783069,0.146764056395448,0.00268783068783069,2.94475035178458,0.00263212435233161,6.22059428534017e-07,1,-0.000166666666666667,0.641479591836735,0,0.0812249322493225,0,0.0637095709570957,0,0.0907142857142857,0.0559717796732995,0.00319496855345912,2.11121753815276,0.615369085173502
"CCL22",0.658069807044712,0.00268783068783069,1.76430997151225,0.00271657754010695,0.999891714600311,0.00677333333333333,0.433055870943866,0.00268783068783069,14.0712587056226,0.00680357142857143,3.26910200846263,0.00263212435233161,2.40651279967075e-07,0.999936758893281,0,0.585694117647059,0,0.0812249322493225,0.450968189740418,0.0637095709570957,0.0403905079472512,0.0556712328767123,0.0963814748765128,0.00549189189189189,0.747279889964292,0.0153939393939394
"GATA2",1.77485804345319,0,0.657809389232116,0,0.567620068459981,0,3.1501210744105,0,0.636996772549686,0,0.460659368158327,0,1.06345259700865e-05,0.999936758893281,-1e-04,0.585694117647059,0.464747831642329,0.0812249322493225,0.360682089598359,0.0637095709570957,0,0.0858591549295775,0.0600437095681044,0,0.287582559707931,0.549610921501707
"ALOX15",4.2037731906562,0.188451612903226,4.18277485876422,0.185720430107527,0.325390655199603,0.0833799392097264,17.6717090384798,0.188451612903226,0.185748258875488,0.0833799392097264,2.9745479914489,0.175219251336898,1.50283340581804e-06,0.999936758893281,0.000454545454545455,0.585694117647059,0.421571056308945,0.0812249322493225,0.296097213437999,0.0637095709570957,0,0.0903111111111111,0.495310723248094,0.181928374655647,2.33916649517705,0.422204444444444
"VEGFA",0.495068502029987,0,0.68292353862139,0,0.206161421418211,0,0.245092821702221,0,0.0736368269067435,0,17.0280236532693,0,3.52847384778091e-06,0.999936758893281,-0.00019047619047619,0,0.350007777214049,0.0812249322493225,0.0493785607470302,0.0637095709570957,0,0.0547076923076923,0.153367648935154,0,0.214755637652623,0.0153939393939394
"CCL17",0.687528111195403,0.49157505773672,0.494700041522254,0.493953917050691,0.922332762921019,0.562140589569161,0.472694903683926,0.49157505773672,3.13937489383387,0.562140589569161,0.517865805694305,0.481016166281755,1.85525892910338e-05,0.999936758893281,0.000360060229625447,0.78299173553719,0.229095909856375,0.0812249322493225,0.0300501060132363,0.0643746556473829,0,0.109681818181818,0.0748423364074755,0.533574370709382,3.32677441265529,0.494323076923077
"SATB1",0.310363471106342,0.00268783068783069,0.310396723023536,0.00271657754010695,0.479145080766171,0.00268783068783069,0.0963254841971847,0.00268783068783069,0.428316629862409,0.00268783068783069,0.263303960955283,0.00263212435233161,9.3723201047004e-05,0.999936758893281,-9.09090909090909e-05,0.585694117647059,0.169623370169864,0.0812249322493225,0.0120998795873461,0.0637095709570957,0.116987651125934,0.0547076923076923,0.183029371910117,0.00319496855345912,0.396903482359755,0.299012658227848
"SOCS2",4.0889742511816,0.0744203821656051,4.08411317597689,0.0760382165605096,0.99992569000871,0.115988439306358,16.7197104268262,0.0744203821656051,14.9220315950399,0.116662790697674,2.40448641375077,0.0616741214057508,9.2022812698702e-05,0.999936758893281,3e-04,0.650532374100719,0.132645190883261,0.0812249322493225,0,0.063854748603352,0,0.0872852233676976,0.355886281533636,0.117578635014837,0.498391746900732,0.592944262295082
"SMOX",1.68603233516248,0,1.66873392031969,0,0.437072886432761,0,2.84270503521344,0,0.348819432648208,0,0.186095847349644,0,8.15149402173828e-05,0.999936758893281,0,0.047625,0.0618352454684687,0.0812249322493225,0,0.0637095709570957,0,0.0849745454545455,0.162559956378736,0,1.8692579406652,0.0260512820512821
"BIRC3",4.68406216644272,0,4.63376954696002,0,0.999684842441363,0,21.9404383791,0,12.4446237472397,0,15.8862559381479,0,0.000235261803518764,0.999936758893281,-0.000181818181818182,0.0846666666666667,0,0.0812249322493225,0,0.0637095709570957,0,0.0547076923076923,0.214572987712264,0,3.91505084141273,0
"LOC101927770",0.869755943983487,0.609823788546256,0.867513332074889,0.608704845814978,0.999705697023482,0.745211087420043,0.756475402094605,0.609823788546256,12.4446237472397,0.745211087420043,13.5996323932847,0.605134065934066,0.000587350590472764,0.999936758893281,0.00063432645785587,0.641479591836735,0,0.0850717703349282,0,0.0656682926829268,0,0.112126126126126,0.398646101431573,0.617656387665198,2.0708687296457,0.92075
"TARP",4.97622623202218,0.864219512195122,3.73033035147525,0.866284552845528,0.489408304707907,0.85260206185567,24.7628275122657,0.864219512195122,0.449464922711058,0.85260206185567,0.76858646268684,0.862154471544715,0.000138300678954843,0.999936758893281,0.00082996632996633,0.684171021377672,0,0.0812249322493225,0,0.0637095709570957,0,0.0849745454545455,0.18696281838212,0.877642276422764,4.22580072302761,0.467196787148594
"CISH",3.72351973851342,0.17800539083558,4.95584044883682,0.180743935309973,0.999993885354309,0.208063829787234,13.8645992430991,0.17800539083558,13.2454560896891,0.209414893617021,23.6972684985658,0.174327077747989,1.42675190026644e-05,0.999936758893281,0.00215664046098829,0.933675889328063,0,0.0812249322493225,0,0.0637095709570957,0,0.0858591549295775,0.460961475733302,0.181928374655647,3.14792388103848,0.723034090909091
"BST1",1.55198289887377,0,0.424864527157048,0,0.999806421298428,0,2.40865091839663,0,0.134788517071514,0,0.756425607473789,0,0.000448022455979159,0.999936758893281,0,0.163119266055046,0,0.08334375,0,0.0651978609625669,0,0.0815596330275229,0.0129703054534075,0,0.210455568511153,0
"HELZ",0.426029915698055,0.0686045016077171,1.54300239493205,0.0683846153846154,0.278469020438119,0.096189349112426,0.18150148906969,0.0686045016077171,18.8510276881264,0.096189349112426,1.21154967131468,0.0602435897435897,4.8328172626074e-06,0.999936758893281,0.000297482837528604,0.694972222222222,0,0.0866448598130841,0,0.0701085972850679,0,0.100116788321168,0.131492198654625,0.0891786833855799,4.18712260489747,0.803896907216495
